   PHI1    PHI2     PHI       ODF
    0.00    0.00    0.00   0.233003E+01
    5.00    0.00    0.00   0.211788E+01
   10.00    0.00    0.00   0.237844E+01
   15.00    0.00    0.00   0.296023E+01
   20.00    0.00    0.00   0.130083E+00
   25.00    0.00    0.00   0.194640E+00
   30.00    0.00    0.00   0.234126E+00
   35.00    0.00    0.00   0.213681E+00
   40.00    0.00    0.00   0.266011E+00
   45.00    0.00    0.00   0.271565E+00
   50.00    0.00    0.00   0.271656E+00
   55.00    0.00    0.00   0.221070E+00
   60.00    0.00    0.00   0.227161E+00
   65.00    0.00    0.00   0.205590E+00
   70.00    0.00    0.00   0.136356E+00
   75.00    0.00    0.00   0.422470E+01
   80.00    0.00    0.00   0.237827E+01
   85.00    0.00    0.00   0.210083E+01
   90.00    0.00    0.00   0.232266E+01
    0.00    5.00    0.00   0.210740E+01
    5.00    5.00    0.00   0.237043E+01
   10.00    5.00    0.00   0.292904E+01
   15.00    5.00    0.00   0.130081E+00
   20.00    5.00    0.00   0.194526E+00
   25.00    5.00    0.00   0.234078E+00
   30.00    5.00    0.00   0.213703E+00
   35.00    5.00    0.00   0.266058E+00
   40.00    5.00    0.00   0.271613E+00
   45.00    5.00    0.00   0.271588E+00
   50.00    5.00    0.00   0.221038E+00
   55.00    5.00    0.00   0.227116E+00
   60.00    5.00    0.00   0.205678E+00
   65.00    5.00    0.00   0.136425E+00
   70.00    5.00    0.00   0.422486E+01
   75.00    5.00    0.00   0.236877E+01
   80.00    5.00    0.00   0.210325E+01
   85.00    5.00    0.00   0.232309E+01
   90.00    5.00    0.00   0.211240E+01
    0.00   10.00    0.00   0.237114E+01
    5.00   10.00    0.00   0.292885E+01
   10.00   10.00    0.00   0.130110E+00
   15.00   10.00    0.00   0.194476E+00
   20.00   10.00    0.00   0.234134E+00
   25.00   10.00    0.00   0.213734E+00
   30.00   10.00    0.00   0.266069E+00
   35.00   10.00    0.00   0.271600E+00
   40.00   10.00    0.00   0.271553E+00
   45.00   10.00    0.00   0.221002E+00
   50.00   10.00    0.00   0.227184E+00
   55.00   10.00    0.00   0.205611E+00
   60.00   10.00    0.00   0.136428E+00
