i	L	Mu	Nu	Re	Im
1	0	1	1	1.000	0.000
2	4	1	1	0.565	0.000
3	4	1	2	0.711	0.000
4	4	1	3	-0.460	0.000
5	6	1	1	1.955	0.000
6	6	1	2	-2.048	0.000
7	6	1	3	1.161	0.000
8	6	1	4	-0.042	0.000
9	8	1	1	-0.526	0.000
10	8	1	2	0.503	0.000
11	8	1	3	-0.635	0.000
12	8	1	4	-0.693	0.000
13	8	1	5	-2.299	0.000
14	9	1	2	1.193	0.000
15	9	1	3	-0.493	0.000
16	9	1	4	-2.102	0.000
17	9	1	5	-0.086	0.000
18	10	1	1	0.016	0.000
19	10	1	2	-1.123	0.000
20	10	1	3	-0.296	0.000
21	10	1	4	0.850	0.000
22	10	1	5	1.367	0.000
23	10	1	6	0.875	0.000
24	12	1	1	-1.046	0.000
25	12	1	2	0.139	0.000
26	12	1	3	0.107	0.000
27	12	1	4	-0.370	0.000
28	12	1	5	0.083	0.000
29	12	1	6	2.841	0.000
30	12	1	7	0.504	0.000
31	12	2	1	1.756	0.000
32	12	2	2	-0.113	0.000
33	12	2	3	0.748	0.000
34	12	2	4	-0.072	0.000
35	12	2	5	1.056	0.000
36	12	2	6	-2.758	0.000
37	12	2	7	0.053	0.000
38	13	1	2	-1.273	0.000
39	13	1	3	-0.887	0.000
40	13	1	4	0.195	0.000
41	13	1	5	-1.015	0.000
42	13	1	6	-0.036	0.000
43	13	1	7	-0.907	0.000
44	14	1	1	-0.709	0.000
45	14	1	2	0.348	0.000
46	14	1	3	-0.424	0.000
47	14	1	4	-1.402	0.000
48	14	1	5	0.104	0.000
49	14	1	6	-0.019	0.000
50	14	1	7	-0.890	0.000
51	14	1	8	-0.814	0.000
52	15	1	2	0.611	0.000
53	15	1	3	0.174	0.000
54	15	1	4	0.177	0.000
55	15	1	5	0.715	0.000
56	15	1	6	-0.349	0.000
57	15	1	7	0.750	0.000
58	15	1	8	0.463	0.000
59	16	1	1	0.062	0.000
60	16	1	2	-0.681	0.000
61	16	1	3	-0.888	0.000
62	16	1	4	-0.277	0.000
63	16	1	5	0.213	0.000
64	16	1	6	1.445	0.000
65	16	1	7	0.186	0.000
